"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Data-driven validation — demonstrates pytest.mark.parametrize.","738","test_checkout_form_validation[webkit-Jane--98101-Last Name is required]","tests","2026-09-26","passed","2026-09-26","","test_checkout","",""
"","325","test_locked_user_sees_error[chromium]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","281","test_added_item_appears_in_cart[chromium]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","531","test_empty_password_shows_error[firefox]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","537","test_add_item_updates_cart_badge[webkit]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"Data-driven validation — demonstrates pytest.mark.parametrize.","646","test_checkout_form_validation[webkit-Jane-Smith--Postal Code is required]","tests","2026-09-26","passed","2026-09-26","","test_checkout","",""
"","145","test_missing_last_name_shows_error[chromium]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","566","test_sort_by_price_low_to_high[firefox]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","386","test_sort_alphabetically_a_to_z[webkit]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","468","test_inventory_page_loads[chromium]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","172","test_missing_postal_code_shows_error[firefox]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","573","test_remove_item_updates_cart_badge[webkit]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","115","test_checkout_shows_order_total[chromium]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","324","test_multiple_items_in_cart[chromium]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","238","test_complete_checkout_happy_path[firefox]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","710","test_multiple_items_in_cart[firefox]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","509","test_all_six_products_displayed[firefox]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"Data-driven validation — demonstrates pytest.mark.parametrize.","1070","test_checkout_form_validation[firefox-Jane--98101-Last Name is required]","tests","2026-09-26","passed","2026-09-26","","test_checkout","",""
"","1448","test_empty_username_shows_error[firefox]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","342","test_sort_by_price_low_to_high[chromium]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","946","test_standard_user_can_login[webkit]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","179","test_missing_last_name_shows_error[webkit]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","141","test_missing_postal_code_shows_error[chromium]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","1215","test_user_can_logout[chromium]","tests","2026-09-26","passed","2026-09-26","TestLogout","test_auth","",""
"","538","test_sort_alphabetically_a_to_z[firefox]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","333","test_continue_shopping_returns_to_inventory[chromium]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","485","test_inventory_page_loads[firefox]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"Data-driven validation — demonstrates pytest.mark.parametrize.","1089","test_checkout_form_validation[chromium--Smith-98101-First Name is required]","tests","2026-09-26","passed","2026-09-26","","test_checkout","",""
"","353","test_sort_by_price_high_to_low[webkit]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","573","test_sort_by_price_high_to_low[firefox]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","156","test_checkout_shows_order_total[webkit]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","421","test_sort_by_price_low_to_high[webkit]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","145","test_missing_last_name_shows_error[firefox]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","508","test_empty_username_shows_error[chromium]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","293","test_empty_password_shows_error[chromium]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","763","test_invalid_credentials_show_error[firefox]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","333","test_add_item_updates_cart_badge[chromium]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"Data-driven validation — demonstrates pytest.mark.parametrize.","840","test_checkout_form_validation[webkit--Smith-98101-First Name is required]","tests","2026-09-26","passed","2026-09-26","","test_checkout","",""
"","628","test_continue_shopping_returns_to_inventory[firefox]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","351","test_sort_alphabetically_a_to_z[chromium]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","1334","test_standard_user_can_login[firefox]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","172","test_missing_first_name_shows_error[webkit]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"Data-driven validation — demonstrates pytest.mark.parametrize.","528","test_checkout_form_validation[chromium-Jane--98101-Last Name is required]","tests","2026-09-26","passed","2026-09-26","","test_checkout","",""
"","458","test_invalid_credentials_show_error[webkit]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","641","test_added_item_appears_in_cart[webkit]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","560","test_remove_item_from_cart[webkit]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"Data-driven validation — demonstrates pytest.mark.parametrize.","908","test_checkout_form_validation[firefox-Jane-Smith--Postal Code is required]","tests","2026-09-26","passed","2026-09-26","","test_checkout","",""
"","602","test_continue_shopping_returns_to_inventory[webkit]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","178","test_checkout_shows_order_total[firefox]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","577","test_add_multiple_items_updates_cart_count[webkit]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","147","test_missing_first_name_shows_error[firefox]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","1006","test_empty_username_shows_error[webkit]","tests","2026-09-26","passed","2026-09-26","TestLogin","test_auth","",""
"","333","test_sort_by_price_high_to_low[chromium]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","671","test_multiple_items_in_cart[webkit]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","312","test_inventory_page_loads[webkit]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","197","test_complete_checkout_happy_path[chromium]","tests","2026-09-26","passed","2026-09-26","TestCheckout","test_checkout","",""
"","587","test_add_multiple_items_updates_cart_count[firefox]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","590","test_remove_item_updates_cart_badge[firefox]","tests","2026-09-26","passed","2026-09-26","TestInventory","test_inventory","",""
"","538","test_added_item_appears_in_cart[firefox]","tests","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
